type,time,actor_id,cluster,energy,price
-1.0,1,H0,0,0.6,0.0513961712189897
-1.0,1,H1,1,0.09,0.1994290593202065
-1.0,1,H2,0,0.37,0.1068835961320558
-1.0,1,H3,0,0.48,0.2454128917843848
-1.0,1,H4,1,0.17,0.2973743461993477
-1.0,2,H1,1,0.31,0.1054350758024143
-1.0,2,H2,0,0.58,0.1575931078369522
-1.0,2,H3,0,0.09,0.2590407834215633
-1.0,2,H4,1,0.05,0.2520140162375276
-1.0,3,H0,0,0.48,0.1399078311934019
-1.0,3,H1,1,0.38,0.2270216679458731
-1.0,3,H2,0,0.67,0.232665958637189
-1.0,3,H3,0,0.26,0.1089004019481292
-1.0,3,H4,1,0.66,0.0164197502280544
-1.0,4,H0,0,0.09,0.2443759610903108
-1.0,4,H1,1,0.53,0.1167126887505743
-1.0,4,H2,0,0.23,0.2583187380768682
-1.0,4,H4,1,0.18,0.2172110876247488
-1.0,5,H0,0,0.55,0.0164975371278025
-1.0,5,H1,1,0.55,0.0811312830576824
-1.0,5,H2,0,0.53,0.2053527968705666
-1.0,5,H3,0,0.59,0.0811013006485565
-1.0,5,H4,1,0.6,0.0896231870019536
-1.0,6,H0,0,0.27,0.1287129886109051
-1.0,6,H1,1,0.3,0.1004900027855171
-1.0,6,H2,0,0.23,0.2536079463794848
-1.0,6,H3,0,0.1,0.2735321612891434
-1.0,6,H4,1,0.22,0.2550161997446271
-1.0,7,H0,0,0.27,0.032352352308637
-1.0,7,H2,0,0.26,0.0369322596424783
-1.0,7,H3,0,0.67,0.2864715836339538
1.0,7,H4,1,0.19,0.002565037155375
1.0,8,H0,0,0.28,0.0845287370914457
-1.0,8,H1,1,0.56,0.205290398124182
1.0,8,H2,0,0.12,0.0507341349047048
-1.0,8,H3,0,0.29,0.1285085699938554
-1.0,8,H4,1,0.3,0.0531562994689683
1.0,9,H0,0,0.55,0.0081046197926516
-1.0,9,H1,1,0.36,0.0378546797464145
1.0,9,H2,0,0.16,0.0557650755696901
1.0,9,H3,0,0.03,0.0821018933190083
1.0,9,H4,1,0.14,0.0363878309877054
1.0,10,H0,0,0.27,0.000858549110458
-1.0,10,H1,1,0.36,0.2279565243535236
1.0,10,H2,0,0.32,0.0127795324965339
1.0,10,H3,0,0.35000000000000003,0.0788448758254815
-1.0,10,H4,1,0.47000000000000003,0.1624984348219449
-1.0,11,H0,0,0.08,0.2693902793413974
-1.0,11,H1,1,0.22,0.0010440243572354
1.0,11,H2,0,0.09,0.0508763028183057
-1.0,11,H3,0,0.29,0.1217261064644526
1.0,11,H4,1,0.5700000000000001,0.0400309725513398
1.0,12,H0,0,0.85,0.0054945061006582
-1.0,12,H1,1,0.03,0.0671768835159232
1.0,12,H2,0,1.31,0.0220962512943272
1.0,12,H3,0,0.39,0.0199601791491764
-1.0,12,H4,1,0.44,0.11595775244452
