time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
1.0,0,4,residential_1,market_maker,0,,0.01,1.0,0
1.0,1,4,residential_2,market_maker,0,,0.03,1.0,0
1.0,2,4,residential_3,market_maker,0,,0.03,1.0,0
1.0,3,4,industrial_1,market_maker,0,,0.02,1.0,0
2.0,0,4,residential_1,market_maker,0,,0.01,1.0,0
2.0,1,4,residential_2,market_maker,0,,0.01,1.0,0
2.0,2,4,residential_3,market_maker,0,,0.05,1.0,0
2.0,3,4,industrial_1,market_maker,0,,0.05,1.0,0
3.0,0,3,residential_2,market_maker,0,,0.02,1.0,0
3.0,1,3,residential_3,market_maker,0,,0.05,1.0,0
3.0,2,3,industrial_1,market_maker,0,,0.03,1.0,0
4.0,1,0,residential_2,residential_1,0,0,0.01,0.9473166896009436,0
4.0,2,0,residential_3,residential_1,0,0,0.05,0.9473166896009436,0
4.0,3,0,industrial_1,residential_1,0,0,0.02,0.9473166896009436,0
4.0,3,4,industrial_1,market_maker,0,,0.019999999999999997,0.9473166896009436,0
5.0,1,0,residential_2,residential_1,0,0,0.01,0.9473166896009436,0
5.0,2,0,residential_3,residential_1,0,0,0.02,0.9473166896009436,0
5.0,3,0,industrial_1,residential_1,0,0,0.04,0.9473166896009436,0
5.0,5,0,market_maker,residential_1,,0,0.009999999999999997,0.9473166896009436,0
6.0,1,0,residential_2,residential_1,0,0,0.03,0.9473166896009436,0
6.0,2,0,residential_3,residential_1,0,0,0.04,0.9473166896009436,0
6.0,3,0,industrial_1,residential_1,0,0,0.02,0.9473166896009436,0
6.0,5,0,market_maker,residential_1,,0,0.13999999999999993,0.9473166896009436,0
7.0,1,0,residential_2,residential_1,0,0,0.03,0.9473166896009436,0
7.0,2,0,residential_3,residential_1,0,0,0.02,0.9473166896009436,0
7.0,3,0,industrial_1,residential_1,0,0,0.01,0.9473166896009436,0
7.0,5,0,market_maker,residential_1,,0,0.06000000000000002,0.9473166896009436,0
8.0,1,0,residential_2,residential_1,0,0,0.01,0.8783172793394928,0
8.0,2,0,residential_3,residential_1,0,0,0.02,0.8783172793394928,0
8.0,3,0,industrial_1,residential_1,0,0,0.02,0.8783172793394928,0
8.0,5,0,market_maker,residential_1,,0,0.30999999999999994,0.8783172793394928,0
9.0,1,0,residential_2,residential_1,0,0,0.02,0.8783172793394928,0
9.0,2,0,residential_3,residential_1,0,0,0.02,0.8783172793394928,0
9.0,3,0,industrial_1,residential_1,0,0,0.02,0.8783172793394928,0
9.0,5,0,market_maker,residential_1,,0,0.31999999999999995,0.8783172793394928,0
10.0,1,0,residential_2,residential_1,0,0,0.03,0.8783172793394928,0
10.0,2,0,residential_3,residential_1,0,0,0.03,0.8783172793394928,0
10.0,3,0,industrial_1,residential_1,0,0,0.01,0.8783172793394928,0
10.0,5,0,market_maker,residential_1,,0,0.42999999999999994,0.8783172793394928,0
11.0,1,0,residential_2,residential_1,0,0,0.02,0.8783172793394928,0
11.0,2,0,residential_3,residential_1,0,0,0.02,0.8783172793394928,0
11.0,3,0,industrial_1,residential_1,0,0,0.02,0.8783172793394928,0
11.0,5,0,market_maker,residential_1,,0,0.9099999999999999,0.8783172793394928,0
