time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
1,2,0,H0,MarketMaker,0,,0.49,0.3337765970697978,0
1,3,0,H1,MarketMaker,0,,0.25,0.3337765970697978,0
1,4,0,H2,MarketMaker,1,,0.24,0.3337765970697978,0
1,5,0,H3,MarketMaker,0,,0.8200000000000001,0.3337765970697978,0
1,6,0,H4,MarketMaker,0,,0.2,0.3337765970697978,0
2,2,0,H0,MarketMaker,0,,0.27,0.5793134027884609,0
2,3,0,H1,MarketMaker,0,,0.09,0.5793134027884609,0
2,4,0,H2,MarketMaker,1,,0.35000000000000003,0.5793134027884609,0
2,5,0,H3,MarketMaker,0,,0.14,0.5793134027884609,0
2,6,0,H4,MarketMaker,0,,0.16,0.5793134027884609,0
3,2,3,H0,H1,0,0,0.01,0.8890006108146659,0
3,5,3,H3,H1,0,0,0.01,0.8890006108146659,0
3,2,0,H0,MarketMaker,0,,0.45,0.8890006108146659,0
3,4,0,H2,MarketMaker,1,,0.11,0.8890006108146659,0
3,5,0,H3,MarketMaker,0,,0.57,0.8890006108146659,0
3,6,0,H4,MarketMaker,0,,0.35000000000000003,0.8890006108146659,0
4,2,6,H0,H4,0,0,0.01,0.569304984412202,0
4,2,0,H0,MarketMaker,0,,0.1,0.569304984412202,0
4,3,0,H1,MarketMaker,0,,0.33,0.569304984412202,0
4,4,0,H2,MarketMaker,1,,0.18,0.569304984412202,0
4,5,0,H3,MarketMaker,0,,0.78,0.569304984412202,0
5,2,5,H0,H3,0,0,0.01,0.631722418326584,0
5,6,5,H4,H3,0,0,0.2900000000000001,0.631722418326584,0
5,2,0,H0,MarketMaker,0,,0.01,0.631722418326584,0
5,3,0,H1,MarketMaker,0,,0.04,0.631722418326584,0
5,4,0,H2,MarketMaker,1,,0.42,0.631722418326584,0
5,6,0,H4,MarketMaker,0,,0.3999999999999998,0.631722418326584,0
