type,time,actor_id,cluster,energy,price
1,1,MarketMaker,,9.223372036854776e+18,0.3337765970697978
-1,1,MarketMaker,,9.223372036854776e+18,0.3337765970697978
-1.0,1,H0,0,0.49,0.3337765970697978
-1.0,1,H1,0,0.25,0.3337765970697978
-1.0,1,H2,1,0.24,0.3337765970697978
-1.0,1,H3,0,0.8200000000000001,0.3337765970697978
-1.0,1,H4,0,0.2,0.3337765970697978
1,2,MarketMaker,,9.223372036854776e+18,0.5793134027884609
-1,2,MarketMaker,,9.223372036854776e+18,0.5793134027884609
-1.0,2,H0,0,0.27,0.5793134027884609
-1.0,2,H1,0,0.09,0.5793134027884609
-1.0,2,H2,1,0.35000000000000003,0.5793134027884609
-1.0,2,H3,0,0.14,0.5793134027884609
-1.0,2,H4,0,0.16,0.5793134027884609
1,3,MarketMaker,,9.223372036854776e+18,0.8890006108146659
-1,3,MarketMaker,,9.223372036854776e+18,0.8890006108146659
-1.0,3,H0,0,0.46,0.8890006108146659
1.0,3,H1,0,0.02,0.8890006108146659
-1.0,3,H2,1,0.11,0.8890006108146659
-1.0,3,H3,0,0.58,0.8890006108146659
-1.0,3,H4,0,0.35000000000000003,0.8890006108146659
1,4,MarketMaker,,9.223372036854776e+18,0.569304984412202
-1,4,MarketMaker,,9.223372036854776e+18,0.569304984412202
-1.0,4,H0,0,0.11,0.569304984412202
-1.0,4,H1,0,0.33,0.569304984412202
-1.0,4,H2,1,0.18,0.569304984412202
-1.0,4,H3,0,0.78,0.569304984412202
1.0,4,H4,0,0.01,0.569304984412202
1,5,MarketMaker,,9.223372036854776e+18,0.631722418326584
-1,5,MarketMaker,,9.223372036854776e+18,0.631722418326584
-1.0,5,H0,0,0.02,0.631722418326584
-1.0,5,H1,0,0.04,0.631722418326584
-1.0,5,H2,1,0.42,0.631722418326584
1.0,5,H3,0,0.3,0.631722418326584
-1.0,5,H4,0,0.6900000000000001,0.631722418326584
