time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
2016-01-01 00:00:00,2,4,residential_1,residential_3,0,1,0.01,0.08087,0.03
2016-01-01 00:00:00,3,4,residential_2,residential_3,1,1,0.05,0.07087,0.02
2016-01-01 00:00:00,1,4,MarketMaker,residential_3,,1,1.42,0.14087,0.09
2016-01-01 00:15:00,2,0,residential_1,MarketMaker,0,,0.04,0.14087,0.09
2016-01-01 00:30:00,2,0,residential_1,MarketMaker,0,,0.04,0.14087,0.09
2016-01-01 00:45:00,2,0,residential_1,MarketMaker,0,,0.04,0.14087,0.09
2016-01-01 01:00:00,2,0,residential_1,MarketMaker,0,,0.04,0.13819,0.09
2016-01-01 01:15:00,2,0,residential_1,MarketMaker,0,,0.04,0.13819,0.09
2016-01-01 01:30:00,2,0,residential_1,MarketMaker,0,,0.01,0.13819,0.09
2016-01-01 01:45:00,2,0,residential_1,MarketMaker,0,,0.02,0.13819,0.09
2016-01-01 02:00:00,2,0,residential_1,MarketMaker,0,,0.02,0.13468,0.09
2016-01-01 02:15:00,2,0,residential_1,MarketMaker,0,,0.01,0.13468,0.09
2016-01-01 02:30:00,2,0,residential_1,MarketMaker,0,,0.02,0.13468,0.09
2016-01-01 02:45:00,2,0,residential_1,MarketMaker,0,,0.02,0.13468,0.09
