type,time,actor_id,cluster,energy,price
1,2016-01-01 00:00:00,MarketMaker,,9.223372036854776e+18,0.05087
-1,2016-01-01 00:00:00,MarketMaker,,9.223372036854776e+18,0.14087
-1.0,2016-01-01 00:00:00,residential_1,0,0.01,0.14087
-1.0,2016-01-01 00:00:00,residential_2,1,0.05,0.14087
1.0,2016-01-01 00:00:00,residential_3,1,1.48,0.05087
1,2016-01-01 00:15:00,MarketMaker,,9.223372036854776e+18,0.05087
-1,2016-01-01 00:15:00,MarketMaker,,9.223372036854776e+18,0.14087
-1.0,2016-01-01 00:15:00,residential_1,0,0.04,0.14087
1,2016-01-01 00:30:00,MarketMaker,,9.223372036854776e+18,0.05087
-1,2016-01-01 00:30:00,MarketMaker,,9.223372036854776e+18,0.14087
-1.0,2016-01-01 00:30:00,residential_1,0,0.04,0.14087
1,2016-01-01 00:45:00,MarketMaker,,9.223372036854776e+18,0.05087
-1,2016-01-01 00:45:00,MarketMaker,,9.223372036854776e+18,0.14087
-1.0,2016-01-01 00:45:00,residential_1,0,0.04,0.14087
1,2016-01-01 01:00:00,MarketMaker,,9.223372036854776e+18,0.04819
-1,2016-01-01 01:00:00,MarketMaker,,9.223372036854776e+18,0.13818999999999998
-1.0,2016-01-01 01:00:00,residential_1,0,0.04,0.13819
1,2016-01-01 01:15:00,MarketMaker,,9.223372036854776e+18,0.04819
-1,2016-01-01 01:15:00,MarketMaker,,9.223372036854776e+18,0.13818999999999998
-1.0,2016-01-01 01:15:00,residential_1,0,0.04,0.13819
1,2016-01-01 01:30:00,MarketMaker,,9.223372036854776e+18,0.04819
-1,2016-01-01 01:30:00,MarketMaker,,9.223372036854776e+18,0.13818999999999998
-1.0,2016-01-01 01:30:00,residential_1,0,0.01,0.13819
1,2016-01-01 01:45:00,MarketMaker,,9.223372036854776e+18,0.04819
-1,2016-01-01 01:45:00,MarketMaker,,9.223372036854776e+18,0.13818999999999998
-1.0,2016-01-01 01:45:00,residential_1,0,0.02,0.13819
1,2016-01-01 02:00:00,MarketMaker,,9.223372036854776e+18,0.04468
-1,2016-01-01 02:00:00,MarketMaker,,9.223372036854776e+18,0.13468
-1.0,2016-01-01 02:00:00,residential_1,0,0.02,0.13468
1,2016-01-01 02:15:00,MarketMaker,,9.223372036854776e+18,0.04468
-1,2016-01-01 02:15:00,MarketMaker,,9.223372036854776e+18,0.13468
-1.0,2016-01-01 02:15:00,residential_1,0,0.01,0.13468
1,2016-01-01 02:30:00,MarketMaker,,9.223372036854776e+18,0.04468
-1,2016-01-01 02:30:00,MarketMaker,,9.223372036854776e+18,0.13468
-1.0,2016-01-01 02:30:00,residential_1,0,0.02,0.13468
1,2016-01-01 02:45:00,MarketMaker,,9.223372036854776e+18,0.04468
-1,2016-01-01 02:45:00,MarketMaker,,9.223372036854776e+18,0.13468
-1.0,2016-01-01 02:45:00,residential_1,0,0.02,0.13468
1,2016-01-01 03:00:00,MarketMaker,,9.223372036854776e+18,0.04292
-1,2016-01-01 03:00:00,MarketMaker,,9.223372036854776e+18,0.13291999999999998
