type,time,actor_id,cluster,energy,price,market_name
-1.0,2016-01-01 00:15:00,residential_1,0,0.04,0.14087,market_1
-1.0,2016-01-01 00:15:00,residential_2,1,0.03,0.14,market_2
1,2016-01-01 00:15:00,market_maker_1,,9.223372036854776e+18,0.05087,market_1
-1,2016-01-01 00:15:00,market_maker_1,,9.223372036854776e+18,0.14087,market_1
1,2016-01-01 00:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 00:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 00:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 00:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 00:30:00,residential_1,0,0.04,0.14087,market_1
-1.0,2016-01-01 00:30:00,residential_2,1,0.01,0.14,market_2
1,2016-01-01 00:30:00,market_maker_1,,9.223372036854776e+18,0.05087,market_1
-1,2016-01-01 00:30:00,market_maker_1,,9.223372036854776e+18,0.14087,market_1
1,2016-01-01 00:30:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 00:30:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 00:30:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 00:30:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 00:45:00,residential_1,0,0.04,0.14087,market_1
-1.0,2016-01-01 00:45:00,residential_2,1,0.02,0.14,market_2
1,2016-01-01 00:45:00,market_maker_1,,9.223372036854776e+18,0.05087,market_1
-1,2016-01-01 00:45:00,market_maker_1,,9.223372036854776e+18,0.14087,market_1
1,2016-01-01 00:45:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 00:45:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 00:45:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 00:45:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 01:00:00,residential_1,0,0.04,0.13819,market_1
-1.0,2016-01-01 01:00:00,residential_2,1,0.01,0.14,market_2
1,2016-01-01 01:00:00,market_maker_1,,9.223372036854776e+18,0.04819,market_1
-1,2016-01-01 01:00:00,market_maker_1,,9.223372036854776e+18,0.13818999999999998,market_1
1,2016-01-01 01:00:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 01:00:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 01:00:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 01:00:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 01:15:00,residential_1,0,0.04,0.13819,market_1
-1.0,2016-01-01 01:15:00,residential_2,1,0.01,0.14,market_2
1,2016-01-01 01:15:00,market_maker_1,,9.223372036854776e+18,0.04819,market_1
-1,2016-01-01 01:15:00,market_maker_1,,9.223372036854776e+18,0.13818999999999998,market_1
1,2016-01-01 01:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 01:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 01:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 01:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 01:30:00,residential_1,0,0.01,0.13819,market_1
-1.0,2016-01-01 01:30:00,residential_2,1,0.03,0.14,market_2
1,2016-01-01 01:30:00,market_maker_1,,9.223372036854776e+18,0.04819,market_1
-1,2016-01-01 01:30:00,market_maker_1,,9.223372036854776e+18,0.13818999999999998,market_1
1,2016-01-01 01:30:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 01:30:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 01:30:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 01:30:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 01:45:00,residential_1,0,0.01,0.13819,market_1
-1.0,2016-01-01 01:45:00,residential_2,1,0.03,0.14,market_2
1,2016-01-01 01:45:00,market_maker_1,,9.223372036854776e+18,0.04819,market_1
-1,2016-01-01 01:45:00,market_maker_1,,9.223372036854776e+18,0.13818999999999998,market_1
1,2016-01-01 01:45:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 01:45:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 01:45:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 01:45:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 02:00:00,residential_1,0,0.03,0.13468,market_1
-1.0,2016-01-01 02:00:00,residential_2,1,0.01,0.14,market_2
1,2016-01-01 02:00:00,market_maker_1,,9.223372036854776e+18,0.04468,market_1
-1,2016-01-01 02:00:00,market_maker_1,,9.223372036854776e+18,0.13468,market_1
1,2016-01-01 02:00:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 02:00:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 02:00:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 02:00:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 02:15:00,residential_1,0,0.01,0.13468,market_1
-1.0,2016-01-01 02:15:00,residential_2,1,0.02,0.14,market_2
1,2016-01-01 02:15:00,market_maker_1,,9.223372036854776e+18,0.04468,market_1
-1,2016-01-01 02:15:00,market_maker_1,,9.223372036854776e+18,0.13468,market_1
1,2016-01-01 02:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_2
1,2016-01-01 02:15:00,market_maker_2,,9.223372036854776e+18,0.05,market_3
-1,2016-01-01 02:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_2
-1,2016-01-01 02:15:00,market_maker_2,,9.223372036854776e+18,0.14,market_3
-1.0,2016-01-01 02:30:00,residential_1,0,0.01,0.13468,market_1
-1.0,2016-01-01 02:30:00,residential_2,1,0.03,0.14,market_2
1,2016-01-01 02:30:00,market_maker_1,,9.223372036854776e+18,0.04468,market_1
