type,time,actor_id,cluster,energy,price
-1.0,1,residential_1,0,0.5,1.0
-1.0,1,residential_2,0,1.0,1.0
1.0,1,market_maker,,9.223372036854776e+18,1.0
-1.0,1,market_maker,,9.223372036854776e+18,1.0
1,1.0,market_maker,,9.223372036854776e+18,1.0
-1,1.0,market_maker,,9.223372036854776e+18,1.0
-1.0,2,residential_1,0,1.0,1.0
-1.0,2,residential_2,0,1.0,1.0
1.0,2,market_maker,,1.8446744073709552e+19,1.0
-1.0,2,market_maker,,1.8446744073709552e+19,1.0
1,2.0,market_maker,,9.223372036854776e+18,1.0
-1,2.0,market_maker,,9.223372036854776e+18,1.0
-1.0,3,residential_1,0,0.5,1.0
-1.0,3,residential_2,0,1.0,1.0
1.0,3,market_maker,,2.7670116110564327e+19,1.0
-1.0,3,market_maker,,2.7670116110564327e+19,1.0
1,3.0,market_maker,,9.223372036854776e+18,1.0
-1,3.0,market_maker,,9.223372036854776e+18,1.0
1.0,4,residential_1,0,0.51,1.0
-1.0,4,residential_2,0,1.0,1.0
1.0,4,market_maker,,3.6893488147419103e+19,1.0
-1.0,4,market_maker,,3.6893488147419103e+19,1.0
1,4.0,market_maker,,9.223372036854776e+18,1.0
-1,4.0,market_maker,,9.223372036854776e+18,1.0
