type,time,actor_id,cluster,energy,price
-1.0,1,residential_1,0,0.01,1.0
-1.0,1,residential_2,0,0.03,1.0
-1.0,1,residential_3,0,0.03,1.0
-1.0,1,industrial_1,0,0.02,1.0
1.0,1,market_maker,,9.223372036854776e+18,1.0
-1.0,1,market_maker,,9.223372036854776e+18,1.0
1,1.0,market_maker,,9.223372036854776e+18,1.0
-1,1.0,market_maker,,9.223372036854776e+18,1.0
-1.0,2,residential_1,0,0.01,1.0
-1.0,2,residential_2,0,0.01,1.0
-1.0,2,residential_3,0,0.05,1.0
-1.0,2,industrial_1,0,0.05,1.0
1.0,2,market_maker,,1.8446744073709552e+19,1.0
-1.0,2,market_maker,,1.8446744073709552e+19,1.0
1,2.0,market_maker,,9.223372036854776e+18,1.0
-1,2.0,market_maker,,9.223372036854776e+18,1.0
-1.0,3,residential_2,0,0.02,1.0
-1.0,3,residential_3,0,0.05,1.0
-1.0,3,industrial_1,0,0.03,1.0
1.0,3,market_maker,,2.7670116110564327e+19,1.0
-1.0,3,market_maker,,2.7670116110564327e+19,1.0
1,3.0,market_maker,,9.223372036854776e+18,1.0
-1,3.0,market_maker,,9.223372036854776e+18,1.0
1.0,4,residential_1,0,0.08,0.9473166896009436
-1.0,4,residential_2,0,0.01,0.9473166896009436
-1.0,4,residential_3,0,0.05,0.9473166896009436
-1.0,4,industrial_1,0,0.04,0.9473166896009436
1.0,4,market_maker,,3.6893488147419103e+19,0.9473166896009436
-1.0,4,market_maker,,3.6893488147419103e+19,0.9473166896009436
1,4.0,market_maker,,9.223372036854776e+18,0.9473166896009436
-1,4.0,market_maker,,9.223372036854776e+18,0.9473166896009436
1.0,5,residential_1,0,0.08,0.9473166896009436
-1.0,5,residential_2,0,0.01,0.9473166896009436
-1.0,5,residential_3,0,0.02,0.9473166896009436
-1.0,5,industrial_1,0,0.04,0.9473166896009436
1.0,5,market_maker,,4.611686018427388e+19,0.9473166896009436
-1.0,5,market_maker,,4.611686018427388e+19,0.9473166896009436
1,5.0,market_maker,,9.223372036854776e+18,0.9473166896009436
-1,5.0,market_maker,,9.223372036854776e+18,0.9473166896009436
1.0,6,residential_1,0,0.23,0.9473166896009436
-1.0,6,residential_2,0,0.03,0.9473166896009436
-1.0,6,residential_3,0,0.04,0.9473166896009436
-1.0,6,industrial_1,0,0.02,0.9473166896009436
1.0,6,market_maker,,5.5340232221128655e+19,0.9473166896009436
-1.0,6,market_maker,,5.5340232221128655e+19,0.9473166896009436
1,6.0,market_maker,,9.223372036854776e+18,0.9473166896009436
-1,6.0,market_maker,,9.223372036854776e+18,0.9473166896009436
1.0,7,residential_1,0,0.12,0.9473166896009436
-1.0,7,residential_2,0,0.03,0.9473166896009436
-1.0,7,residential_3,0,0.02,0.9473166896009436
-1.0,7,industrial_1,0,0.01,0.9473166896009436
1.0,7,market_maker,,6.456360425798344e+19,0.9473166896009436
-1.0,7,market_maker,,6.456360425798344e+19,0.9473166896009436
1,7.0,market_maker,,9.223372036854776e+18,0.9473166896009436
-1,7.0,market_maker,,9.223372036854776e+18,0.9473166896009436
1.0,8,residential_1,0,0.36,0.8783172793394928
-1.0,8,residential_2,0,0.01,0.8783172793394928
-1.0,8,residential_3,0,0.02,0.8783172793394928
-1.0,8,industrial_1,0,0.02,0.8783172793394928
1.0,8,market_maker,,7.378697629483821e+19,0.8783172793394928
-1.0,8,market_maker,,7.378697629483821e+19,0.8783172793394928
1,8.0,market_maker,,9.223372036854776e+18,0.8783172793394928
-1,8.0,market_maker,,9.223372036854776e+18,0.8783172793394928
1.0,9,residential_1,0,0.38,0.8783172793394928
-1.0,9,residential_2,0,0.02,0.8783172793394928
-1.0,9,residential_3,0,0.02,0.8783172793394928
-1.0,9,industrial_1,0,0.02,0.8783172793394928
1.0,9,market_maker,,8.301034833169298e+19,0.8783172793394928
-1.0,9,market_maker,,8.301034833169298e+19,0.8783172793394928
1,9.0,market_maker,,9.223372036854776e+18,0.8783172793394928
-1,9.0,market_maker,,9.223372036854776e+18,0.8783172793394928
1.0,10,residential_1,0,0.5,0.8783172793394928
-1.0,10,residential_2,0,0.03,0.8783172793394928
-1.0,10,residential_3,0,0.03,0.8783172793394928
-1.0,10,industrial_1,0,0.01,0.8783172793394928
1.0,10,market_maker,,9.223372036854776e+19,0.8783172793394928
-1.0,10,market_maker,,9.223372036854776e+19,0.8783172793394928
1,10.0,market_maker,,9.223372036854776e+18,0.8783172793394928
-1,10.0,market_maker,,9.223372036854776e+18,0.8783172793394928
1.0,11,residential_1,0,0.97,0.8783172793394928
-1.0,11,residential_2,0,0.02,0.8783172793394928
-1.0,11,residential_3,0,0.02,0.8783172793394928
-1.0,11,industrial_1,0,0.02,0.8783172793394928
1.0,11,market_maker,,1.0145709240540253e+20,0.8783172793394928
-1.0,11,market_maker,,1.0145709240540253e+20,0.8783172793394928
1,11.0,market_maker,,9.223372036854776e+18,0.8783172793394928
-1,11.0,market_maker,,9.223372036854776e+18,0.8783172793394928
