type,time,actor_id,cluster,energy,price
1.0,1,H0,0,1.8800000000000001,0.2574310222842482
1.0,1,H1,0,4.54,0.2574310222842482
1.0,1,H2,0,1.9100000000000001,0.2574310222842482
1.0,1,H3,0,3.1,0.2574310222842482
1.0,1,H4,0,3.73,0.2574310222842482
1.0,1,H5,0,0.25,0.2574310222842482
1.0,1,H6,0,3.37,0.2574310222842482
1.0,1,H7,0,3.87,0.2574310222842482
-1.0,1,H8,0,0.59,0.2574310222842482
1.0,1,H9,0,3.48,0.2574310222842482
1,1.0,market_maker,,9.223372036854776e+18,0.2574310222842482
-1,1.0,market_maker,,9.223372036854776e+18,0.2574310222842482
-1.0,2,H0,0,0.34,0.28760140776535137
-1.0,2,H1,0,0.54,0.28760140776535137
-1.0,2,H2,0,0.33,0.28760140776535137
-1.0,2,H3,0,0.09,0.28760140776535137
-1.0,2,H4,0,0.09,0.28760140776535137
-1.0,2,H5,0,0.22,0.28760140776535137
-1.0,2,H6,0,0.07,0.28760140776535137
-1.0,2,H7,0,0.6900000000000001,0.28760140776535137
-1.0,2,H8,0,0.84,0.28760140776535137
-1.0,2,H9,0,0.54,0.28760140776535137
1,2.0,market_maker,,9.223372036854776e+18,0.28760140776535137
-1,2.0,market_maker,,9.223372036854776e+18,0.28760140776535137
-1.0,3,H0,0,0.39,0.20814380066152757
-1.0,3,H1,0,0.9,0.20814380066152757
-1.0,3,H2,0,0.16,0.20814380066152757
-1.0,3,H3,0,0.03,0.20814380066152757
-1.0,3,H4,0,0.09,0.20814380066152757
-1.0,3,H5,0,0.46,0.20814380066152757
-1.0,3,H6,0,0.8200000000000001,0.20814380066152757
-1.0,3,H7,0,0.55,0.20814380066152757
-1.0,3,H8,0,0.25,0.20814380066152757
-1.0,3,H9,0,0.16,0.20814380066152757
1,3.0,market_maker,,9.223372036854776e+18,0.20814380066152757
-1,3.0,market_maker,,9.223372036854776e+18,0.20814380066152757
-1.0,4,H0,0,0.74,0.20411086748741084
-1.0,4,H1,0,0.26,0.20411086748741084
-1.0,4,H2,0,0.07,0.20411086748741084
-1.0,4,H3,0,0.89,0.20411086748741084
-1.0,4,H4,0,0.01,0.20411086748741084
-1.0,4,H5,0,0.49,0.20411086748741084
-1.0,4,H6,0,0.47000000000000003,0.20411086748741084
-1.0,4,H7,0,0.52,0.20411086748741084
-1.0,4,H8,0,0.67,0.20411086748741084
-1.0,4,H9,0,0.78,0.20411086748741084
1,4.0,market_maker,,9.223372036854776e+18,0.20411086748741084
-1,4.0,market_maker,,9.223372036854776e+18,0.20411086748741084
1.0,5,H0,0,0.14,0.07625787107081447
-1.0,5,H1,0,0.43,0.07625787107081447
-1.0,5,H2,0,0.77,0.07625787107081447
-1.0,5,H3,0,0.5,0.07625787107081447
1.0,5,H4,0,0.08,0.07625787107081447
-1.0,5,H5,0,0.62,0.07625787107081447
-1.0,5,H6,0,0.27,0.07625787107081447
-1.0,5,H7,0,0.39,0.07625787107081447
-1.0,5,H8,0,0.08,0.07625787107081447
-1.0,5,H9,0,0.14,0.07625787107081447
1,5.0,market_maker,,9.223372036854776e+18,0.07625787107081447
-1,5.0,market_maker,,9.223372036854776e+18,0.07625787107081447
-1.0,6,H0,0,0.03,0.13701977512686844
-1.0,6,H1,0,0.8200000000000001,0.13701977512686844
-1.0,6,H2,0,0.64,0.13701977512686844
-1.0,6,H3,0,0.55,0.13701977512686844
-1.0,6,H4,0,0.08,0.13701977512686844
-1.0,6,H5,0,0.18,0.13701977512686844
-1.0,6,H6,0,0.8200000000000001,0.13701977512686844
-1.0,6,H7,0,0.09,0.13701977512686844
-1.0,6,H8,0,0.59,0.13701977512686844
-1.0,6,H9,0,0.52,0.13701977512686844
1,6.0,market_maker,,9.223372036854776e+18,0.13701977512686844
-1,6.0,market_maker,,9.223372036854776e+18,0.13701977512686844
1.0,7,H0,0,0.45,0.013324952957895916
-1.0,7,H1,0,0.8300000000000001,0.013324952957895916
-1.0,7,H2,0,0.63,0.013324952957895916
-1.0,7,H3,0,0.44,0.013324952957895916
1.0,7,H4,0,1.24,0.013324952957895916
-1.0,7,H5,0,0.27,0.013324952957895916
-1.0,7,H6,0,0.75,0.013324952957895916
-1.0,7,H7,0,0.74,0.013324952957895916
-1.0,7,H8,0,0.63,0.013324952957895916
-1.0,7,H9,0,0.12,0.013324952957895916
1,7.0,market_maker,,9.223372036854776e+18,0.013324952957895916
-1,7.0,market_maker,,9.223372036854776e+18,0.013324952957895916
1.0,8,H0,0,0.5,0.044263975278712675
-1.0,8,H1,0,0.46,0.044263975278712675
-1.0,8,H2,0,0.56,0.044263975278712675
-1.0,8,H3,0,0.18,0.044263975278712675
1.0,8,H4,0,1.22,0.044263975278712675
-1.0,8,H5,0,0.99,0.044263975278712675
-1.0,8,H6,0,0.35000000000000003,0.044263975278712675
-1.0,8,H7,0,0.72,0.044263975278712675
-1.0,8,H8,0,0.33,0.044263975278712675
-1.0,8,H9,0,0.56,0.044263975278712675
1,8.0,market_maker,,9.223372036854776e+18,0.044263975278712675
-1,8.0,market_maker,,9.223372036854776e+18,0.044263975278712675
1.0,9,H0,0,2.04,0.006767707379548293
-1.0,9,H1,0,0.55,0.006767707379548293
-1.0,9,H2,0,0.04,0.006767707379548293
-1.0,9,H3,0,0.73,0.006767707379548293
1.0,9,H4,0,2.08,0.006767707379548293
-1.0,9,H5,0,0.43,0.006767707379548293
-1.0,9,H6,0,0.43,0.006767707379548293
-1.0,9,H7,0,0.59,0.006767707379548293
-1.0,9,H8,0,0.6900000000000001,0.006767707379548293
-1.0,9,H9,0,0.07,0.006767707379548293
1,9.0,market_maker,,9.223372036854776e+18,0.006767707379548293
-1,9.0,market_maker,,9.223372036854776e+18,0.006767707379548293
1.0,10,H0,0,2.57,0.0016509982112763058
-1.0,10,H1,0,0.42,0.0016509982112763058
-1.0,10,H2,0,0.67,0.0016509982112763058
-1.0,10,H3,0,0.88,0.0016509982112763058
1.0,10,H4,0,1.92,0.0016509982112763058
-1.0,10,H5,0,0.8,0.0016509982112763058
-1.0,10,H6,0,0.25,0.0016509982112763058
-1.0,10,H7,0,0.65,0.0016509982112763058
-1.0,10,H8,0,0.54,0.0016509982112763058
-1.0,10,H9,0,0.34,0.0016509982112763058
1,10.0,market_maker,,9.223372036854776e+18,0.0016509982112763058
-1,10.0,market_maker,,9.223372036854776e+18,0.0016509982112763058
1.0,11,H0,0,2.2,0.0047733787258000555
-1.0,11,H1,0,0.92,0.0047733787258000555
-1.0,11,H2,0,0.29,0.0047733787258000555
-1.0,11,H3,0,0.55,0.0047733787258000555
1.0,11,H4,0,3.72,0.0047733787258000555
-1.0,11,H5,0,0.79,0.0047733787258000555
-1.0,11,H6,0,0.31,0.0047733787258000555
-1.0,11,H7,0,0.71,0.0047733787258000555
-1.0,11,H8,0,0.6,0.0047733787258000555
-1.0,11,H9,0,0.64,0.0047733787258000555
1,11.0,market_maker,,9.223372036854776e+18,0.0047733787258000555
-1,11.0,market_maker,,9.223372036854776e+18,0.0047733787258000555
1.0,12,H0,0,1.02,0.009391385521248147
-1.0,12,H1,0,0.3,0.009391385521248147
-1.0,12,H2,0,0.54,0.009391385521248147
-1.0,12,H3,0,0.91,0.009391385521248147
1.0,12,H4,0,3.31,0.009391385521248147
-1.0,12,H5,0,0.48,0.009391385521248147
-1.0,12,H6,0,0.21,0.009391385521248147
-1.0,12,H7,0,0.21,0.009391385521248147
-1.0,12,H8,0,0.13,0.009391385521248147
-1.0,12,H9,0,0.53,0.009391385521248147
1,12.0,market_maker,,9.223372036854776e+18,0.009391385521248147
-1,12.0,market_maker,,9.223372036854776e+18,0.009391385521248147
