internal id;industry type;yearly consumption [kWh];source
1;iron steel industry;800e6; https://www.lech-stahlwerke.de/de/unternehmen/umwelt/energie.html "800 GWh"
2;chemical_and_petrochemical_industry;0.355e6; https://www.emas.de/fileadmin/user_upload/ue/reg/DE-166-00069_BAYERNOIL-Raffineriegesellschaft-mbH.pdf s. 4 "355.239 MWh"
3;non-ferrous metal industry;1.57e6; https://de.wikipedia.org/wiki/Liste_der_Aluminiumhütten and https://de.wikipedia.org/wiki/Liste_der_Aluminiumhütten "15.700 kWh / t" "100 t / a" 
4;non-metallic minerals;55.555e6; rz_8158_2021_hdz_umweltreport_schelklingen_bro_a4_4s_2020_web.pdf https://www.vdz-online.de/zementindustrie/zahlen-und-daten/zementindustrie-in-deutschland "100 kWh / t" "555.555 t / a"
5;transport equipmentn (planes, ships, rail);;
6;machinery;;
7;mining and quarrying;;
8;food and tabacco;;
9;paper pulp and print;;
10;wood and wood products;;
11;construction;;
12;textile and leather;;
13;non specified (Industry);;
